timestamp,price_usd
2025-05-16 03:05:53,103824
2025-05-16 03:06:03,103810
2025-05-16 03:06:13,103824
2025-05-16 03:06:23,103810
2025-05-16 03:06:33,103824
2025-05-16 03:06:43,103810
2025-05-16 03:07:54,103807
2025-05-16 03:08:04,103807
2025-05-16 03:08:14,103807
2025-05-16 03:08:24,103807
2025-05-16 03:08:34,103807
2025-05-16 03:08:44,103817
2025-05-16 03:09:55,103792
2025-05-16 03:10:05,103804
2025-05-16 03:10:15,103804
2025-05-16 03:10:25,103804
2025-05-16 03:10:35,103792
2025-05-16 03:10:45,103792
2025-05-16 03:11:56,103777
2025-05-16 03:12:06,103777
2025-05-16 03:12:16,103777
2025-05-16 03:12:26,103777
2025-05-16 03:12:36,103777
2025-05-16 03:12:46,103777
2025-05-16 03:13:57,103782
2025-05-16 03:14:07,103782
2025-05-16 03:14:17,103782
2025-05-16 03:14:27,103782
2025-05-16 03:14:37,103782
2025-05-16 03:14:47,103785
