timestamp,price_usd,ma_6,volatility_12
2025-05-17 01:15:31,103575,103291.5,295.0833857496728
2025-05-17 01:15:41,103575,103386.0,298.48266535123366
2025-05-17 01:15:51,103574,103480.33333333333,297.51832131009485
2025-05-17 01:15:57,103014,103481.33333333333,296.38522997187283
2025-05-17 01:16:02,103574,103481.16666666667,295.4146033607912
2025-05-17 01:16:07,103014,103387.66666666667,294.89515342775155
2025-05-17 01:16:12,103574,103387.5,290.51505985063056
2025-05-17 01:16:17,103042,103298.66666666667,287.1342205416751
2025-05-17 01:16:27,103042,103210.0,283.68222725546354
2025-05-17 01:16:37,103042,103214.66666666667,280.1564497984117
2025-05-17 01:16:47,103042,103126.0,283.1313406541732
2025-05-17 01:17:22,103580,103220.33333333333,283.57041774170557
2025-05-17 01:17:32,103584,103222.0,284.3631241276896
2025-05-17 01:17:42,103584,103312.33333333333,285.1514748977935
2025-05-17 01:17:52,103580,103402.0,285.6698666770717
2025-05-17 01:17:58,103045,103402.5,282.9161322349973
2025-05-17 01:18:02,103583,103492.66666666667,283.6945647357886
2025-05-17 01:18:08,103045,103403.5,280.8880263260704
2025-05-17 01:18:13,103583,103403.33333333333,281.6623811759723
2025-05-17 01:18:18,103045,103313.5,281.4015113784614
2025-05-17 01:18:28,103045,103224.33333333333,281.14015700146706
2025-05-17 01:18:38,103045,103224.33333333333,280.8783166923008
2025-05-17 01:18:48,103045,103134.66666666667,280.61598909070545
2025-05-17 01:19:59,103044,103134.5,277.0041023654737
2025-05-17 01:20:09,103038,103043.66666666667,265.14781469286174
2025-05-17 01:20:19,103038,103042.5,243.63609226588164
2025-05-17 01:20:29,103044,103042.33333333333,210.0551154226022
2025-05-17 01:20:39,103038,103041.16666666667,210.33225879774199
2025-05-17 01:20:49,103038,103040.0,156.12834658100732
2025-05-17 01:22:00,103040,103039.33333333333,156.25821190560652
2025-05-17 01:22:10,103044,103040.33333333333,3.2473765737262137
2025-05-17 01:22:20,103044,103041.33333333333,3.1754264909578396
2025-05-17 01:22:30,103044,103041.33333333333,3.099364559424675
2025-05-17 01:22:40,103044,103042.33333333333,3.018879995926845
2025-05-17 01:22:50,103044,103043.33333333333,2.933608813773013
2025-05-17 01:23:00,103044,103044.0,2.933608813773013
2025-05-17 01:24:11,103075,103049.16666666667,9.900642773997244
2025-05-17 01:24:21,103075,103054.33333333333,12.911118067848523
2025-05-17 01:24:31,103075,103059.5,15.005806958929565
2025-05-17 01:24:41,103075,103064.66666666667,15.991475003609624
2025-05-17 01:24:51,103075,103069.83333333333,16.295333038973464
2025-05-17 01:25:01,103075,103075.0,16.18922200581206
2025-05-17 01:26:12,103075,103075.0,15.96278816881912
2025-05-17 01:26:22,103145,103086.66666666667,27.799607584970115
2025-05-17 01:26:32,103145,103098.33333333333,33.708532326005724
2025-05-17 01:26:42,103145,103110.0,36.6763072733301
2025-05-17 01:26:52,103145,103121.66666666667,37.409587979305385
2025-05-17 01:27:02,103145,103133.33333333333,36.045005538831056
2025-05-17 01:27:12,103145,103145.0,36.55630775138656
2025-05-17 01:28:23,103148,103145.5,36.27535685834761
2025-05-17 01:28:33,103148,103146.0,34.852503062827374
2025-05-17 01:28:43,103162,103148.83333333333,33.156538731471706
2025-05-17 01:28:53,103162,103151.66666666667,29.484459184068072
2025-05-17 01:29:03,103162,103154.5,22.90477653068164
2025-05-17 01:29:13,103162,103157.33333333333,8.07727827192761
2025-05-17 01:29:23,103162,103159.66666666667,8.382431124351355
2025-05-17 01:29:33,103167,103162.83333333333,8.959082070948647
2025-05-17 01:30:43,103170,103164.16666666667,9.462846008665602
2025-05-17 01:30:53,103170,103165.5,9.452833471700961
2025-05-17 01:31:04,103170,103166.83333333333,8.92731593111734
2025-05-17 01:31:14,103170,103168.16666666667,7.782556254507879
2025-05-17 01:31:24,103194,103173.5,10.655415469287654
2025-05-17 01:31:34,103170,103174.0,8.91840113599813
2025-05-17 01:31:44,103194,103178.0,11.293266968499932
2025-05-17 01:32:54,103194,103182.0,12.650008984419832
2025-05-17 01:33:04,103194,103186.0,13.30384997941709
2025-05-17 01:33:14,103194,103190.0,13.358404460435144
2025-05-17 01:33:24,103190,103189.33333333333,12.52240416579449
2025-05-17 01:33:35,103190,103192.66666666667,11.857742645056138
2025-05-17 01:33:45,103190,103192.0,11.200649333157973
2025-05-17 01:34:55,103199,103192.83333333333,10.791059712841156
2025-05-17 01:35:05,103199,103193.66666666667,9.731236803479943
2025-05-17 01:35:15,103199,103194.5,7.759158812804788
2025-05-17 01:35:25,103205,103197.0,8.58998712545106
2025-05-17 01:35:35,103205,103199.5,5.333570073010253
2025-05-17 01:35:45,103205,103202.0,5.862050527769268
2025-05-17 01:36:56,103205,103203.0,6.200562048976029
2025-05-17 01:37:06,103213,103205.33333333333,7.416198488834406
2025-05-17 01:37:16,103213,103207.66666666667,8.129165600396647
2025-05-17 01:37:26,103213,103209.0,7.988628282941352
2025-05-17 01:37:36,103213,103210.33333333333,7.316958303300529
2025-05-17 01:37:46,103216,103212.16666666667,6.273440892360333
2025-05-17 01:38:58,103216,103214.0,6.201172911483174
2025-05-17 01:39:08,103216,103214.5,5.759708538414945
2025-05-17 01:39:18,103216,103215.0,4.849242367429937
2025-05-17 01:39:28,103216,103215.5,4.575130403011462
2025-05-17 01:39:38,103216,103216.0,4.063883799730688
2025-05-17 01:39:48,103221,103216.83333333333,3.7537859706179155
2025-05-17 01:40:59,103224,103218.16666666667,3.369875461800625
2025-05-17 01:41:09,103224,103219.5,3.90803368646039
2025-05-17 01:41:19,103224,103220.83333333333,4.166060564566322
2025-05-17 01:41:29,103224,103222.16666666667,4.195957653197877
2025-05-17 01:41:39,103224,103223.5,4.002839903605235
2025-05-17 01:41:49,103232,103225.33333333333,5.14266173472984
2025-05-17 01:42:59,103237,103227.5,6.617241026923368
2025-05-17 01:43:09,103237,103229.66666666667,7.378818992028981
2025-05-17 01:43:20,103237,103231.83333333333,7.643575239638734
2025-05-17 01:43:30,103237,103234.0,7.464562746008337
2025-05-17 01:43:40,103237,103236.16666666667,6.806859286951593
2025-05-17 01:43:50,103237,103237.0,6.478402348453157
2025-05-17 01:44:00,103237,103237.0,6.254089572605394
2025-05-17 01:45:11,103238,103237.16666666667,5.869154088561032
2025-05-17 01:45:21,103238,103237.33333333333,5.177895912306844
2025-05-17 01:45:31,103238,103237.5,4.025486985746429
2025-05-17 01:45:41,103239,103237.83333333333,1.7056057360127375
2025-05-17 01:45:52,103238,103238.0,0.6741998754643926
2025-05-17 01:46:02,103239,103238.33333333333,0.7784989554019901
2025-05-17 01:46:12,103239,103238.5,0.8348471204028096
2025-05-17 01:47:22,103235,103238.0,1.1547005459560715
2025-05-17 01:47:32,103235,103237.5,1.3816985657551693
2025-05-17 01:47:43,103236,103237.0,1.4433756790458974
2025-05-17 01:47:53,103235,103236.5,1.602554784002767
2025-05-17 01:48:03,103235,103235.83333333333,1.7298624974246337
2025-05-17 01:48:13,103236,103235.33333333333,1.7298624974315802
2025-05-17 01:48:23,103236,103235.5,1.7122552962208974
2025-05-17 01:48:34,103236,103235.66666666667,1.6764862296616267
2025-05-17 01:49:44,103240,103236.33333333333,1.8257418631790647
2025-05-17 01:49:54,103239,103237.0,1.9128750421056264
2025-05-17 01:50:04,103239,103237.66666666667,1.9128750421056264
2025-05-17 01:50:14,103239,103238.16666666667,1.9128750421056264
2025-05-17 01:50:24,103239,103238.66666666667,1.9286515982080021
2025-05-17 01:50:35,103239,103239.16666666667,1.8809249866485858
2025-05-17 01:50:45,103239,103239.0,1.8748737377829967
2025-05-17 01:51:19,103528,103287.16666666667,83.75880776850333
2025-05-17 01:51:56,103237,103286.83333333333,83.70198759459613
2025-05-17 01:52:06,103237,103286.5,83.67397046481362
2025-05-17 01:52:16,103237,103286.16666666667,83.64585338133604
2025-05-17 01:52:26,103237,103285.83333333333,83.6176362433323
2025-05-17 01:52:36,103237,103285.5,83.69547071493781
2025-05-17 01:52:46,103238,103237.16666666667,83.72121848286517
2025-05-17 01:53:57,103239,103237.5,83.72121848286517
2025-05-17 01:54:07,103239,103237.83333333333,83.72121848286517
2025-05-17 01:54:17,103239,103238.16666666667,83.72121848286517
